	Time	Day_of_week	Age_of_driver	Gender_of_driver	Educational_level	Vehicle_driver_relation	Driving_experience	Owner_of_vehicle	Area_accident_occured	Lanes_or_Medians	Road_allignment	Types_of_Junction	Road_surface_type	Road_surface_conditions	Light_conditions	Weather_conditions	Type_of_collision	Number_of_vehicles_involved	Number_of_casualties	Vehicle_movement	Pedestrian_movement	Cause_of_accident	Accident_severity
0	17:02:00	Monday	18-30	Male	Above high school	Employee	1-2yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with roadside-parked vehicles	2	2	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
1	17:02:00	Monday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Overtaking	Slight Injury
2	17:02:00	Monday	18-30	Male	Junior high school	Employee	1-2yr	Owner	  Recreational areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	2	Going straight	Not a Pedestrian	Changing lane to the left	Serious Injury
3	1:06:00	Sunday	18-30	Male	Junior high school	Employee	5-10yr	Governmental	Office areas	other	Tangent road with mild grade and flat terrain	Y Shape	Earth roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
4	1:06:00	Sunday	18-30	Male	Junior high school	Employee	2-5yr	Owner	 Industrial areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Overtaking	Slight Injury
5	14:15:00	Friday	31-50	Male	Junior high school	Employee	2-5yr	Owner	 Industrial areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	U-Turn	Not a Pedestrian	Overloading	Slight Injury
6	17:30:00	Wednesday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Moving Backward	Not a Pedestrian	Other	Slight Injury
7	17:20:00	Friday	18-30	Male	Junior high school	Employee	2-5yr	Governmental	Residential areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	U-Turn	Not a Pedestrian	No priority to vehicle	Slight Injury
8	17:20:00	Friday	18-30	Male	Junior high school	Employee	Above 10yr	Owner	 Industrial areas	other	Tangent road with flat terrain	Y Shape	Earth roads	Dry	Daylight	Normal	Collision with roadside-parked vehicles	2	1	Going straight	Crossing from driver's nearside	Changing lane to the right	Slight Injury
9	17:20:00	Friday	18-30	Male	Junior high school	Employee	1-2yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with roadside-parked vehicles	2	1	U-Turn	Not a Pedestrian	Moving Backward	Serious Injury
10	14:40:00	Saturday	18-30	Male	Above high school	Owner	1-2yr	Owner	Residential areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	1	Turnover	Not a Pedestrian	Changing lane to the left	Serious Injury
11	14:40:00	Saturday	31-50	Male	Above high school	Employee	No Licence	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	No junction	Earth roads	Dry	Daylight	Normal	Collision with animals	2	1	Going straight	Not a Pedestrian	No priority to pedestrian	Serious Injury
12	17:45:00	Thursday	18-30	Male	Junior high school	Employee	1-2yr	Owner	Office areas	Double carriageway (median)	Escarpments	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	2	Going straight	Not a Pedestrian	No distancing	Slight Injury
13	17:45:00	Thursday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Office areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	2	Waiting to go	Not a Pedestrian	No priority to vehicle	Slight Injury
14	17:45:00	Thursday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	Office areas	Undivided Two way	Escarpments	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	2	Going straight	Not a Pedestrian	No distancing	Serious Injury
15	22:45:00	Monday	18-30	Female	Junior high school	Employee	Above 10yr	Owner	Office areas	One way	Tangent road with flat terrain	Y Shape	Asphalt roads	Wet or damp	Darkness - light	Raining	Collision with animals	2	3	Going straight	Not a Pedestrian	No distancing	Serious Injury
16	22:45:00	Monday	18-30	Male	Junior high school	Owner	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Wet or damp	Darkness - light	Raining	Collision with animals	2	3	Going straight	Not a Pedestrian	Moving Backward	Slight Injury
17	22:45:00	Monday	18-30	Male	Elementary school	Employee	2-5yr	Owner	Office areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Wet or damp	Darkness - light	Raining	Collision with animals	2	3	Going straight	Not a Pedestrian	Changing lane to the right	Serious Injury
18	22:45:00	Monday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Wet or damp	Darkness - light	Raining	Collision with animals	2	3	Moving Backward	Not a Pedestrian	No priority to pedestrian	Slight Injury
19	8:20:00	Tuesday	18-30	Male	Junior high school	Employee	Below 1yr	Owner	Residential areas	One way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	1	Going straight	Not a Pedestrian	Moving Backward	Serious Injury
20	8:20:00	Tuesday	Under 18	Male	Junior high school	Employee	2-5yr	Owner	Other	One way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	1	Going straight	Not a Pedestrian	Getting off the vehicle improperly	Slight Injury
21	15:10:00	Thursday	18-30	Male	Junior high school	Employee	2-5yr	Owner	 Church areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with animals	1	1	Moving Backward	Not a Pedestrian	Overtaking	Serious Injury
22	12:11:00	Thursday	18-30	Male	Elementary school	Employee	5-10yr	Owner	  Recreational areas	other	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Other	2	1	Getting off	Not a Pedestrian	Overloading	Serious Injury
23	12:11:00	Thursday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	 Industrial areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Rollover	2	1	Reversing	Not a Pedestrian	Changing lane to the right	Serious Injury
24	18:36:00	Wednesday	18-30	Male	Junior high school	Employee	Above 10yr	Owner	Residential areas	other	Tangent road with flat terrain	Crossing	Asphalt roads with some distress	Dry	Daylight	Normal	Collision with animals	2	3	Turnover	Not a Pedestrian	Improper parking	Slight Injury
25	18:36:00	Wednesday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	other	Tangent road with rolling terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Rollover	2	3	Going straight	Not a Pedestrian	Other	Slight Injury
26	18:36:00	Wednesday	18-30	Male	Junior high school	Employee	5-10yr	Owner	Office areas	Double carriageway (median)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	3	Going straight	Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle	Changing lane to the left	Slight Injury
27	14:35:00	Friday	18-30	Male	Above high school	Employee	2-5yr	Owner	  Market areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with animals	1	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
28	12:25:00	Tuesday	Over 51	Male	Above high school	Employee	2-5yr	Owner	  Market areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to pedestrian	Slight Injury
